Season,Id,Date,Time,League,Home,Away,Round_number,FT_Goals_H,FT_Goals_A,FT_Odd_ML_Bookie,FT_Odd_ML_H,FT_Odd_ML_D,FT_Odd_ML_A,HT_Odd_OU_05_Bookie,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_OU_05_Bookie,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_OU_15_Bookie,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_OU_25_Bookie,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_OU_35_Bookie,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_OU_45_Bookie,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Bookie,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
2024,xIg2r0Hd,28/07/2024,19:00,BRASIL - BRASILEIRÃO BETANO,Grêmio,Vasco,RODADA 20,1,0,bet365,1.95,3.25,4.1,bet365,1.44,2.63,bet365,1.08,8.0,bet365,1.4,3.0,bet365,2.2,1.65,bet365,4.0,1.25,bet365,9.0,1.07,bet365,1.95,1.8
2024,bRfbqt2j,28/08/2024,19:30,BRASIL - BRASILEIRÃO BETANO,Criciúma,Red Bull Bragantino,RODADA 19,1,0,bet365,2.38,3.3,3.0,bet365,1.44,2.63,bet365,1.07,9.0,bet365,1.36,3.2,bet365,2.1,1.7,bet365,4.0,1.25,bet365,8.0,1.08,bet365,1.91,1.91
2024,pnPUJDKJ,28/08/2024,19:30,BRASIL - BRASILEIRÃO BETANO,Cruzeiro,Internacional,RODADA 5,0,0,bet365,2.25,3.3,3.4,bet365,1.53,2.38,bet365,1.1,7.0,bet365,1.5,2.63,bet365,2.4,1.53,bet365,5.0,1.17,bet365,11.0,1.05,bet365,2.05,1.7
2024,jXFhLOwS,28/09/2024,17:00,BRASIL - SÉRIE B,Vila Nova,Botafogo-SP,RODADA 29,1,1,bet365,1.8,3.3,4.75,bet365,1.5,2.5,bet365,1.08,8.0,bet365,1.4,2.75,bet365,2.35,1.57,bet365,4.33,1.2,bet365,10.0,1.06,bet365,2.1,1.67
2024,rVfXDtW1,28/09/2024,18:00,BRASIL - SÉRIE B,Santos,Operário,RODADA 29,1,0,bet365,1.42,4.1,8.5,bet365,1.5,2.5,bet365,1.1,7.0,bet365,1.4,2.75,bet365,2.25,1.62,bet365,4.33,1.2,bet365,10.0,1.06,bet365,2.63,1.44
2024,r7U3gurl,28/09/2024,18:30,BRASIL - BRASILEIRÃO BETANO,Palmeiras,Atlético-MG,RODADA 28,2,1,bet365,1.73,3.7,5.25,bet365,1.44,2.63,bet365,1.07,9.0,bet365,1.36,3.2,bet365,2.15,1.67,bet365,4.0,1.25,bet365,8.0,1.08,bet365,2.0,1.75
2024,QVZbfLSs,28/09/2024,21:00,BRASIL - BRASILEIRÃO BETANO,Botafogo,Grêmio,RODADA 28,0,0,bet365,1.67,3.9,4.5,bet365,1.36,3.0,bet365,1.05,11.0,bet365,1.29,3.75,bet365,1.95,1.95,bet365,3.4,1.33,bet365,6.0,1.13,bet365,1.8,1.95
2023,MsV30CM8,28/10/2023,19:00,BRASIL - SÉRIE A,América-MG,Grêmio,RODADA 30,3,4,bet365,2.25,3.4,3.2,bet365,1.33,3.25,bet365,1.04,13.0,bet365,1.22,4.33,bet365,1.7,2.1,bet365,2.75,1.44,bet365,5.0,1.17,bet365,1.62,2.2
2023,CAntoXML,28/10/2023,19:00,BRASIL - SÉRIE A,Palmeiras,Bahia,RODADA 30,1,0,bet365,1.33,4.75,10.0,bet365,1.33,3.25,bet365,1.05,11.0,bet365,1.25,4.0,bet365,1.75,2.05,bet365,3.0,1.4,bet365,5.5,1.14,bet365,2.1,1.67
2023,AoSGvVak,28/10/2023,21:00,BRASIL - SÉRIE A,Atlético-MG,Fluminense,RODADA 30,2,0,bet365,1.7,3.6,5.5,bet365,1.44,2.63,bet365,1.08,8.0,bet365,1.4,3.0,bet365,2.25,1.62,bet365,4.33,1.22,bet365,9.0,1.07,bet365,2.05,1.7
